sample_column,measurement_type,drug,cell_line,condition_type,concentration_nM,replicate,parse_ok,PC1,PC2
_dyn_#AZD-1208 3000nM.Tech replicate 1 of 1,dyn,AZD-1208,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-38.83612535168081,2.4186030316430793
_dyn_#AZD-1208 300nM.Tech replicate 1 of 1,dyn,AZD-1208,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-38.71556493854803,2.1389685299531767
_dyn_#AZD-1208 30nM.Tech replicate 1 of 1,dyn,AZD-1208,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-48.77555219633756,6.254859259471396
_dyn_#AZD-1208 3nM.Tech replicate 1 of 1,dyn,AZD-1208,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,-32.05595148565936,1.799262037923768
_dyn_#AZD-1208 DMSO.Tech replicate 1 of 1,dyn,AZD-1208,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,6.409656156849675,-21.534725121084666
_dyn_#AZD-1208 PDPD.Tech replicate 1 of 1,dyn,AZD-1208,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,-46.29885425696514,9.917461301141655
_dyn_#AZD-1480 1000nM.Tech replicate 1 of 1,dyn,AZD-1480,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-11.223618683215006,-5.077380799052976
_dyn_#AZD-1480 100nM.Tech replicate 1 of 1,dyn,AZD-1480,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-6.491732036164269,-7.078190716168352
_dyn_#AZD-1480 10nM.Tech replicate 1 of 1,dyn,AZD-1480,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-10.918519652867177,-5.994496499412501
_dyn_#AZD-1480 30000nM.Tech replicate 1 of 1,dyn,AZD-1480,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,3.5133261557997013,-14.512563608753618
_dyn_#AZD-1480 3000nM.Tech replicate 1 of 1,dyn,AZD-1480,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-3.147081336675224,-10.343837511925745
